Month,Industries_luok,Information,value
2020M06,Trade,"Bankruptcies instigated, number of enterprises",25
2020M06,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2020M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2020M06,Other service activities,"Bankruptcies instigated, number of enterprises",55
2020M06,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2020M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2020M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",13
2020M07,Construction,"Bankruptcies instigated, number of enterprises",21
2020M07,Trade,"Bankruptcies instigated, number of enterprises",18
2020M07,Transport and storage,"Bankruptcies instigated, number of enterprises",4
2020M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2020M07,Other service activities,"Bankruptcies instigated, number of enterprises",41
2020M07,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2020M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2020M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",10
2020M08,Construction,"Bankruptcies instigated, number of enterprises",22
2020M08,Trade,"Bankruptcies instigated, number of enterprises",29
2020M08,Transport and storage,"Bankruptcies instigated, number of enterprises",8
2020M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2020M08,Other service activities,"Bankruptcies instigated, number of enterprises",40
2020M08,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2020M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2020M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",12
2020M09,Construction,"Bankruptcies instigated, number of enterprises",28
2020M09,Trade,"Bankruptcies instigated, number of enterprises",23
2020M09,Transport and storage,"Bankruptcies instigated, number of enterprises",8
2020M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2020M09,Other service activities,"Bankruptcies instigated, number of enterprises",57
2020M09,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2020M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2020M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",10
2020M10,Construction,"Bankruptcies instigated, number of enterprises",32
2020M10,Trade,"Bankruptcies instigated, number of enterprises",24
2020M10,Transport and storage,"Bankruptcies instigated, number of enterprises",7
2020M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",11
2020M10,Other service activities,"Bankruptcies instigated, number of enterprises",53
2020M10,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2020M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2020M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",14
2020M11,Construction,"Bankruptcies instigated, number of enterprises",32
2020M11,Trade,"Bankruptcies instigated, number of enterprises",31
2020M11,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2020M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",9
2020M11,Other service activities,"Bankruptcies instigated, number of enterprises",47
2020M11,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2020M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2020M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",5
2020M12,Construction,"Bankruptcies instigated, number of enterprises",18
2020M12,Trade,"Bankruptcies instigated, number of enterprises",23
2020M12,Transport and storage,"Bankruptcies instigated, number of enterprises",2
2020M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",8
2020M12,Other service activities,"Bankruptcies instigated, number of enterprises",31
2020M12,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2021M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2021M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",11
2021M01,Construction,"Bankruptcies instigated, number of enterprises",20
2021M01,Trade,"Bankruptcies instigated, number of enterprises",17
2021M01,Transport and storage,"Bankruptcies instigated, number of enterprises",8
2021M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2021M01,Other service activities,"Bankruptcies instigated, number of enterprises",50
2021M01,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2021M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2021M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2021M02,Construction,"Bankruptcies instigated, number of enterprises",72
2021M02,Trade,"Bankruptcies instigated, number of enterprises",47
2021M02,Transport and storage,"Bankruptcies instigated, number of enterprises",28
2021M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",28
2021M02,Other service activities,"Bankruptcies instigated, number of enterprises",80
2021M02,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2021M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",12
2021M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",30
2021M03,Construction,"Bankruptcies instigated, number of enterprises",57
2021M03,Trade,"Bankruptcies instigated, number of enterprises",48
2021M03,Transport and storage,"Bankruptcies instigated, number of enterprises",24
2021M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",24
2021M03,Other service activities,"Bankruptcies instigated, number of enterprises",91
2021M03,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2021M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2021M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2021M04,Construction,"Bankruptcies instigated, number of enterprises",36
2021M04,Trade,"Bankruptcies instigated, number of enterprises",29
2021M04,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2021M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2021M04,Other service activities,"Bankruptcies instigated, number of enterprises",64
2021M04,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2021M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2021M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2021M05,Construction,"Bankruptcies instigated, number of enterprises",58
2021M05,Trade,"Bankruptcies instigated, number of enterprises",39
2021M05,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2021M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",22
2021M05,Other service activities,"Bankruptcies instigated, number of enterprises",78
2021M05,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2021M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2021M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2021M06,Construction,"Bankruptcies instigated, number of enterprises",33
2021M06,Trade,"Bankruptcies instigated, number of enterprises",33
2021M06,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2021M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2021M06,Other service activities,"Bankruptcies instigated, number of enterprises",65
2021M06,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2021M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2021M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",10
2021M07,Construction,"Bankruptcies instigated, number of enterprises",34
2021M07,Trade,"Bankruptcies instigated, number of enterprises",20
2021M07,Transport and storage,"Bankruptcies instigated, number of enterprises",13
2021M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2021M07,Other service activities,"Bankruptcies instigated, number of enterprises",39
2021M07,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2021M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2021M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2021M08,Construction,"Bankruptcies instigated, number of enterprises",46
2021M08,Trade,"Bankruptcies instigated, number of enterprises",29
2021M08,Transport and storage,"Bankruptcies instigated, number of enterprises",9
2021M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",12
2021M08,Other service activities,"Bankruptcies instigated, number of enterprises",44
2021M08,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2021M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2021M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",19
2021M09,Construction,"Bankruptcies instigated, number of enterprises",46
2021M09,Trade,"Bankruptcies instigated, number of enterprises",35
2021M09,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2021M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",12
2021M09,Other service activities,"Bankruptcies instigated, number of enterprises",60
2021M09,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2021M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2021M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",13
2021M10,Construction,"Bankruptcies instigated, number of enterprises",58
2021M10,Trade,"Bankruptcies instigated, number of enterprises",42
2021M10,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2021M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2021M10,Other service activities,"Bankruptcies instigated, number of enterprises",58
2021M10,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2021M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2021M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2021M11,Construction,"Bankruptcies instigated, number of enterprises",42
2021M11,Trade,"Bankruptcies instigated, number of enterprises",42
2021M11,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2021M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",29
2021M11,Other service activities,"Bankruptcies instigated, number of enterprises",72
2021M11,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2021M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2021M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",15
2021M12,Construction,"Bankruptcies instigated, number of enterprises",50
2021M12,Trade,"Bankruptcies instigated, number of enterprises",34
2021M12,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2021M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2021M12,Other service activities,"Bankruptcies instigated, number of enterprises",57
2021M12,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2022M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2022M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",14
2022M01,Construction,"Bankruptcies instigated, number of enterprises",45
2022M01,Trade,"Bankruptcies instigated, number of enterprises",37
2022M01,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2022M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2022M01,Other service activities,"Bankruptcies instigated, number of enterprises",72
2022M01,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2022M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2022M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2022M02,Construction,"Bankruptcies instigated, number of enterprises",42
2022M02,Trade,"Bankruptcies instigated, number of enterprises",31
2022M02,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2022M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2022M02,Other service activities,"Bankruptcies instigated, number of enterprises",54
2022M02,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2022M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2022M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",17
2022M03,Construction,"Bankruptcies instigated, number of enterprises",51
2022M03,Trade,"Bankruptcies instigated, number of enterprises",46
2022M03,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2022M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2022M03,Other service activities,"Bankruptcies instigated, number of enterprises",91
2022M03,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2022M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2022M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",14
2022M04,Construction,"Bankruptcies instigated, number of enterprises",40
2022M04,Trade,"Bankruptcies instigated, number of enterprises",30
2022M04,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2022M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",23
2022M04,Other service activities,"Bankruptcies instigated, number of enterprises",44
2022M04,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2022M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2022M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2022M05,Construction,"Bankruptcies instigated, number of enterprises",54
2022M05,Trade,"Bankruptcies instigated, number of enterprises",43
2022M05,Transport and storage,"Bankruptcies instigated, number of enterprises",26
2022M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",26
2022M05,Other service activities,"Bankruptcies instigated, number of enterprises",88
2022M05,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2022M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2022M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2022M06,Construction,"Bankruptcies instigated, number of enterprises",53
2022M06,Trade,"Bankruptcies instigated, number of enterprises",34
2022M06,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2022M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2022M06,Other service activities,"Bankruptcies instigated, number of enterprises",75
2022M06,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2022M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2022M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",10
2022M07,Construction,"Bankruptcies instigated, number of enterprises",40
2022M07,Trade,"Bankruptcies instigated, number of enterprises",31
2022M07,Transport and storage,"Bankruptcies instigated, number of enterprises",6
2022M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2022M07,Other service activities,"Bankruptcies instigated, number of enterprises",45
2022M07,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2022M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2022M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2022M08,Construction,"Bankruptcies instigated, number of enterprises",45
2022M08,Trade,"Bankruptcies instigated, number of enterprises",37
2022M08,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2022M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2022M08,Other service activities,"Bankruptcies instigated, number of enterprises",77
2022M08,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2022M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2022M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2022M09,Construction,"Bankruptcies instigated, number of enterprises",70
2022M09,Trade,"Bankruptcies instigated, number of enterprises",54
2022M09,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2022M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2022M09,Other service activities,"Bankruptcies instigated, number of enterprises",86
2022M09,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2022M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2022M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2022M10,Construction,"Bankruptcies instigated, number of enterprises",45
2022M10,Trade,"Bankruptcies instigated, number of enterprises",35
2022M10,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2022M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2022M10,Other service activities,"Bankruptcies instigated, number of enterprises",77
2022M10,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2022M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2022M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2022M11,Construction,"Bankruptcies instigated, number of enterprises",45
2022M11,Trade,"Bankruptcies instigated, number of enterprises",33
2022M11,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2022M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",28
2022M11,Other service activities,"Bankruptcies instigated, number of enterprises",79
2022M11,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2022M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2022M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2022M12,Construction,"Bankruptcies instigated, number of enterprises",34
2022M12,Trade,"Bankruptcies instigated, number of enterprises",36
2022M12,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2022M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",27
2022M12,Other service activities,"Bankruptcies instigated, number of enterprises",75
2022M12,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2023M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2023M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2023M01,Construction,"Bankruptcies instigated, number of enterprises",67
2023M01,Trade,"Bankruptcies instigated, number of enterprises",52
2023M01,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2023M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",35
2023M01,Other service activities,"Bankruptcies instigated, number of enterprises",93
2023M01,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2023M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2023M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2023M02,Construction,"Bankruptcies instigated, number of enterprises",73
2023M02,Trade,"Bankruptcies instigated, number of enterprises",53
2023M02,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2023M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",40
2023M02,Other service activities,"Bankruptcies instigated, number of enterprises",105
2023M02,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2023M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2023M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",13
2023M03,Construction,"Bankruptcies instigated, number of enterprises",67
2023M03,Trade,"Bankruptcies instigated, number of enterprises",46
2023M03,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2023M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",27
2023M03,Other service activities,"Bankruptcies instigated, number of enterprises",82
2023M03,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2023M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2023M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2023M04,Construction,"Bankruptcies instigated, number of enterprises",64
2023M04,Trade,"Bankruptcies instigated, number of enterprises",51
2023M04,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2023M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",28
2023M04,Other service activities,"Bankruptcies instigated, number of enterprises",75
2023M04,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2023M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2023M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",24
2023M05,Construction,"Bankruptcies instigated, number of enterprises",60
2023M05,Trade,"Bankruptcies instigated, number of enterprises",45
2023M05,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2023M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",22
2023M05,Other service activities,"Bankruptcies instigated, number of enterprises",74
2023M05,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2023M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2023M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2023M06,Construction,"Bankruptcies instigated, number of enterprises",61
2023M06,Trade,"Bankruptcies instigated, number of enterprises",43
2023M06,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2023M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2023M06,Other service activities,"Bankruptcies instigated, number of enterprises",72
2023M06,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2023M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2023M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",17
2023M07,Construction,"Bankruptcies instigated, number of enterprises",61
2023M07,Trade,"Bankruptcies instigated, number of enterprises",26
2023M07,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2023M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",24
2023M07,Other service activities,"Bankruptcies instigated, number of enterprises",68
2023M07,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2023M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2023M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2023M08,Construction,"Bankruptcies instigated, number of enterprises",77
2023M08,Trade,"Bankruptcies instigated, number of enterprises",48
2023M08,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2023M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",29
2023M08,Other service activities,"Bankruptcies instigated, number of enterprises",79
2023M08,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2023M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2023M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2023M09,Construction,"Bankruptcies instigated, number of enterprises",60
2023M09,Trade,"Bankruptcies instigated, number of enterprises",49
2023M09,Transport and storage,"Bankruptcies instigated, number of enterprises",26
2023M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",42
2023M09,Other service activities,"Bankruptcies instigated, number of enterprises",105
2023M09,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2023M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2023M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2023M10,Construction,"Bankruptcies instigated, number of enterprises",64
2023M10,Trade,"Bankruptcies instigated, number of enterprises",37
2023M10,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2023M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2023M10,Other service activities,"Bankruptcies instigated, number of enterprises",89
2023M10,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2023M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",14
2023M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",19
2023M11,Construction,"Bankruptcies instigated, number of enterprises",69
2023M11,Trade,"Bankruptcies instigated, number of enterprises",61
2023M11,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2023M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",37
2023M11,Other service activities,"Bankruptcies instigated, number of enterprises",127
2023M11,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2023M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2023M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2023M12,Construction,"Bankruptcies instigated, number of enterprises",59
2023M12,Trade,"Bankruptcies instigated, number of enterprises",35
2023M12,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2023M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2023M12,Other service activities,"Bankruptcies instigated, number of enterprises",100
2023M12,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2024M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2024M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2024M01,Construction,"Bankruptcies instigated, number of enterprises",67
2024M01,Trade,"Bankruptcies instigated, number of enterprises",58
2024M01,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2024M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",30
2024M01,Other service activities,"Bankruptcies instigated, number of enterprises",99
2024M01,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2024M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",14
2024M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2024M02,Construction,"Bankruptcies instigated, number of enterprises",80
2024M02,Trade,"Bankruptcies instigated, number of enterprises",40
2024M02,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2024M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",45
2024M02,Other service activities,"Bankruptcies instigated, number of enterprises",110
2024M02,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2024M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2024M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2024M03,Construction,"Bankruptcies instigated, number of enterprises",71
2024M03,Trade,"Bankruptcies instigated, number of enterprises",43
2024M03,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2024M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",24
2024M03,Other service activities,"Bankruptcies instigated, number of enterprises",93
2024M03,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2024M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2024M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2024M04,Construction,"Bankruptcies instigated, number of enterprises",74
2024M04,Trade,"Bankruptcies instigated, number of enterprises",38
2024M04,Transport and storage,"Bankruptcies instigated, number of enterprises",24
2024M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",30
2024M04,Other service activities,"Bankruptcies instigated, number of enterprises",102
2024M04,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2024M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2024M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2024M05,Construction,"Bankruptcies instigated, number of enterprises",70
2024M05,Trade,"Bankruptcies instigated, number of enterprises",50
2024M05,Transport and storage,"Bankruptcies instigated, number of enterprises",24
2024M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2024M05,Other service activities,"Bankruptcies instigated, number of enterprises",122
2024M05,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2024M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2024M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2024M06,Construction,"Bankruptcies instigated, number of enterprises",53
2024M06,Trade,"Bankruptcies instigated, number of enterprises",47
2024M06,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2024M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2024M06,Other service activities,"Bankruptcies instigated, number of enterprises",91
2024M06,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2024M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2024M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2024M07,Construction,"Bankruptcies instigated, number of enterprises",41
2024M07,Trade,"Bankruptcies instigated, number of enterprises",34
2024M07,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2024M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",22
2024M07,Other service activities,"Bankruptcies instigated, number of enterprises",91
2024M07,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2024M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2024M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",33
2024M08,Construction,"Bankruptcies instigated, number of enterprises",67
2024M08,Trade,"Bankruptcies instigated, number of enterprises",54
2024M08,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2024M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",29
2024M08,Other service activities,"Bankruptcies instigated, number of enterprises",94
